"date","year","home_team","away_team","team","scorer","minute","own_goal","penalty","goal_owner","home_goals","away_goals"
"1926-10-16","1926",Argentina,Bolivia,Argentina,Roberto Cherro,19.0,False,False,home_team,5,0
"1926-10-16","1926",Argentina,Bolivia,Argentina,Gabino Sosa,31.0,False,False,home_team,5,0
"1926-10-16","1926",Argentina,Bolivia,Argentina,Benjamín Delgado,43.0,False,False,home_team,5,0
"1926-10-16","1926",Argentina,Bolivia,Argentina,Antonio de Miguel,74.0,False,False,home_team,5,0
"1926-10-17","1926",Chile,Uruguay,Chile,Guillermo Subiabre,65.0,False,True,home_team,1,3
"1926-10-17","1926",Chile,Uruguay,Uruguay,René Borjas,22.0,False,False,away_team,1,3
"1926-10-17","1926",Chile,Uruguay,Uruguay,Héctor Castro,32.0,False,False,away_team,1,3
"1926-10-17","1926",Chile,Uruguay,Uruguay,Héctor Scarone,55.0,False,False,away_team,1,3
"1926-10-20","1926",Argentina,Paraguay,Argentina,Gabino Sosa,11.0,False,False,home_team,8,0
"1926-10-20","1926",Argentina,Paraguay,Argentina,Roberto Cherro,16.0,False,False,home_team,8,0
"1926-10-20","1926",Argentina,Paraguay,Argentina,Gabino Sosa,32.0,False,False,home_team,8,0
"1926-10-20","1926",Argentina,Paraguay,Argentina,Benjamín Delgado,40.0,False,False,home_team,8,0
"1926-10-20","1926",Argentina,Paraguay,Argentina,Benjamín Delgado,42.0,False,False,home_team,8,0
"1926-10-20","1926",Argentina,Paraguay,Argentina,Antonio de Miguel,52.0,False,False,home_team,8,0
"1926-10-20","1926",Argentina,Paraguay,Argentina,Gabino Sosa,59.0,False,False,home_team,8,0
"1926-10-20","1926",Argentina,Paraguay,Argentina,Gabino Sosa,87.0,False,False,home_team,8,0
"1926-10-23","1926",Bolivia,Paraguay,Bolivia,Carlos Soto,15.0,False,False,home_team,1,6
"1926-10-23","1926",Bolivia,Paraguay,Paraguay,Ildefonso López,57.0,False,False,away_team,1,6
"1926-10-23","1926",Bolivia,Paraguay,Paraguay,Ceferino Ramírez,68.0,False,False,away_team,1,6
"1926-10-23","1926",Bolivia,Paraguay,Paraguay,Ceferino Ramírez,72.0,False,False,away_team,1,6
"1926-10-23","1926",Bolivia,Paraguay,Paraguay,Pablo Ramírez,76.0,False,False,away_team,1,6
"1926-10-23","1926",Bolivia,Paraguay,Paraguay,Ildefonso López,81.0,False,False,away_team,1,6
"1926-10-23","1926",Bolivia,Paraguay,Paraguay,Ceferino Ramírez,88.0,False,False,away_team,1,6
"1926-10-24","1926",Argentina,Uruguay,Uruguay,René Borjas,22.0,False,False,away_team,0,2
"1926-10-24","1926",Argentina,Uruguay,Uruguay,Héctor Castro,73.0,False,False,away_team,0,2
"1926-10-28","1926",Bolivia,Uruguay,Uruguay,Héctor Scarone,9.0,False,False,away_team,0,6
"1926-10-28","1926",Bolivia,Uruguay,Uruguay,Héctor Scarone,12.0,False,False,away_team,0,6
"1926-10-28","1926",Bolivia,Uruguay,Uruguay,Héctor Scarone,28.0,False,False,away_team,0,6
"1926-10-28","1926",Bolivia,Uruguay,Uruguay,Héctor Scarone,39.0,False,False,away_team,0,6
"1926-10-28","1926",Bolivia,Uruguay,Uruguay,Ángel Romano,67.0,False,False,away_team,0,6
"1926-10-28","1926",Bolivia,Uruguay,Uruguay,Héctor Scarone,81.0,False,False,away_team,0,6
"1926-10-31","1926",Chile,Argentina,Argentina,Domingo Tarasconi,87.0,False,False,away_team,1,1
"1926-10-31","1926",Chile,Argentina,Chile,Guillermo Saavedra,25.0,False,False,home_team,1,1
"1926-11-01","1926",Paraguay,Uruguay,Paraguay,Manuel Fleitas Solich,58.0,False,True,home_team,1,6
"1926-11-01","1926",Paraguay,Uruguay,Uruguay,Héctor Castro,16.0,False,False,away_team,1,6
"1926-11-01","1926",Paraguay,Uruguay,Uruguay,Héctor Castro,23.0,False,False,away_team,1,6
"1926-11-01","1926",Paraguay,Uruguay,Uruguay,Héctor Castro,32.0,False,False,away_team,1,6
"1926-11-01","1926",Paraguay,Uruguay,Uruguay,Zoilo Saldombide,47.0,False,True,away_team,1,6
"1926-11-01","1926",Paraguay,Uruguay,Uruguay,Héctor Castro,72.0,False,False,away_team,1,6
"1926-11-01","1926",Paraguay,Uruguay,Uruguay,Zoilo Saldombide,82.0,False,False,away_team,1,6
"1926-11-03","1926",Chile,Paraguay,Chile,David Arellano,21.0,False,False,home_team,5,1
"1926-11-03","1926",Chile,Paraguay,Chile,Manuel Ramírez,42.0,False,False,home_team,5,1
"1926-11-03","1926",Chile,Paraguay,Chile,David Arellano,64.0,False,False,home_team,5,1
"1926-11-03","1926",Chile,Paraguay,Chile,David Arellano,71.0,False,False,home_team,5,1
"1926-11-03","1926",Chile,Paraguay,Chile,Manuel Ramírez,82.0,False,False,home_team,5,1
"1926-11-03","1926",Chile,Paraguay,Paraguay,Luis Vargas Peña,40.0,False,False,away_team,5,1
"1927-10-30","1927",Argentina,Bolivia,Argentina,Segundo Luna,18.0,False,False,home_team,7,1
"1927-10-30","1927",Argentina,Bolivia,Argentina,Alfredo Carricaberry,20.0,False,False,home_team,7,1
"1927-10-30","1927",Argentina,Bolivia,Argentina,Humberto Recanatini,24.0,False,True,home_team,7,1
"1927-10-30","1927",Argentina,Bolivia,Argentina,Manuel Seoane,29.0,False,False,home_team,7,1
"1927-10-30","1927",Argentina,Bolivia,Argentina,Alfredo Carricaberry,36.0,False,False,home_team,7,1
"1927-10-30","1927",Argentina,Bolivia,Argentina,Segundo Luna,56.0,False,False,home_team,7,1
"1927-10-30","1927",Argentina,Bolivia,Argentina,Manuel Seoane,79.0,False,False,home_team,7,1
"1927-10-30","1927",Argentina,Bolivia,Bolivia,Mario Alborta,42.0,False,False,away_team,7,1
"1927-11-01","1927",Peru,Uruguay,Uruguay,Daniel Ulloa,49.0,True,False,away_team,0,4
"1927-11-01","1927",Peru,Uruguay,Uruguay,Antonio Sacco,52.0,False,False,away_team,0,4
"1927-11-01","1927",Peru,Uruguay,Uruguay,Antonio Sacco,71.0,False,False,away_team,0,4
"1927-11-01","1927",Peru,Uruguay,Uruguay,Héctor Castro,75.0,False,False,away_team,0,4
"1927-11-06","1927",Bolivia,Uruguay,Uruguay,Pedro Petrone,18.0,False,False,away_team,0,9
"1927-11-06","1927",Bolivia,Uruguay,Uruguay,Roberto Figueroa,19.0,False,False,away_team,0,9
"1927-11-06","1927",Bolivia,Uruguay,Uruguay,Juan Arremón,43.0,False,False,away_team,0,9
"1927-11-06","1927",Bolivia,Uruguay,Uruguay,Pedro Petrone,65.0,False,False,away_team,0,9
"1927-11-06","1927",Bolivia,Uruguay,Uruguay,Roberto Figueroa,67.0,False,False,away_team,0,9
"1927-11-06","1927",Bolivia,Uruguay,Uruguay,Héctor Castro,68.0,False,False,away_team,0,9
"1927-11-06","1927",Bolivia,Uruguay,Uruguay,Roberto Figueroa,69.0,False,False,away_team,0,9
"1927-11-06","1927",Bolivia,Uruguay,Uruguay,Pedro Petrone,81.0,False,False,away_team,0,9
"1927-11-06","1927",Bolivia,Uruguay,Uruguay,Héctor Scarone,86.0,False,False,away_team,0,9
"1927-11-13","1927",Peru,Bolivia,Bolivia,José Bustamante,13.0,False,False,away_team,3,2
"1927-11-13","1927",Peru,Bolivia,Bolivia,José Bustamante,14.0,False,False,away_team,3,2
"1927-11-13","1927",Peru,Bolivia,Peru,Demetrio Neyra,31.0,False,False,home_team,3,2
"1927-11-13","1927",Peru,Bolivia,Peru,Jorge Sarmiento,41.0,False,False,home_team,3,2
"1927-11-13","1927",Peru,Bolivia,Peru,Alberto Montellanos,43.0,False,False,home_team,3,2
"1927-11-20","1927",Argentina,Uruguay,Argentina,Humberto Recanatini,56.0,False,True,home_team,3,2
"1927-11-20","1927",Argentina,Uruguay,Argentina,Segundo Luna,70.0,False,False,home_team,3,2
"1927-11-20","1927",Argentina,Uruguay,Argentina,Adhemar Canavesi,85.0,True,False,home_team,3,2
"1927-11-20","1927",Argentina,Uruguay,Uruguay,Héctor Scarone,33.0,False,False,away_team,3,2
"1927-11-20","1927",Argentina,Uruguay,Uruguay,Héctor Scarone,79.0,False,False,away_team,3,2
"1927-11-27","1927",Peru,Argentina,Argentina,Manuel Ferreira,1.0,False,False,away_team,1,5
"1927-11-27","1927",Peru,Argentina,Argentina,Juan Maglio,22.0,False,False,away_team,1,5
